n_inscripcion,nombre,fecha_nacimiento,sexo,comuna,disciplina
48,Javiera Rodríguez Torres,2007-01-15,F,Chiguayante,Atletismo
94,Gabriel Fuentes Muñoz,2008-11-25,M,San Pedro de la Paz,Vóleibol
542,Agustín Vega Hernández,2009-01-27,M,Chiguayante,Ajedrez
213,Amanda Hernández Hernández,2010-10-24,F,Talcahuano,Fútbol
501,Joaquín López González,2009-01-23,M,San Pedro de la Paz,Ajedrez
49,Amanda Muñoz Sepúlveda,2009-03-28,F,Chiguayante,Fútbol
405,Josefa Araya Silva,2010-11-02,F,Chiguayante,Fútbol
96,Vicente Araya Flores,2008-05-07,M,Talcahuano,Natación
387,Lucas Araya Soto,2008-03-08,M,Hualpén,Fútbol
242,Tomás Rodríguez Pérez,2010-11-12,M,Chiguayante,Natación
267,Gabriel Vega Pérez,2012-03-12,M,Hualpén,Ajedrez
13,Lucas Martínez Fuentes,2011-09-05,M,Tomé,Natación
220,Isidora Contreras Espinoza,2009-06-28,F,Talcahuano,Fútbol
337,Diego Soto Contreras,2008-11-24,M,Talcahuano,Atletismo
171,Isidora Rodríguez Soto,2010-03-05,F,Penco,Natación
324,Matías Muñoz Espinoza,2008-09-13,M,Talcahuano,Ajedrez
227,Sofía Díaz González,2012-08-17,F,San Pedro de la Paz,Ajedrez
565,Catalina Rojas Muñoz,2010-12-18,F,Hualpén,Vóleibol
72,Vicente Pérez Hernández,2007-05-06,M,Coronel,Atletismo
477,Emilia Silva Hernández,2010-11-03,F,Concepción,Natación
388,Florencia Hernández Pérez,2008-11-04,F,Chiguayante,Fútbol
332,Javiera Flores Sepúlveda,2009-07-09,F,Talcahuano,Ajedrez
201,Catalina Contreras Pérez,2007-04-03,F,Talcahuano,Natación
29,Joaquín Araya Flores,2009-11-18,M,Hualpén,Fútbol
503,Lucas Espinoza Fuentes,2010-02-23,M,Talcahuano,Ajedrez
17,Catalina Soto Vega,2007-09-15,F,Talcahuano,Atletismo
311,Antonia Silva Soto,2011-02-04,F,Chiguayante,Atletismo
196,Sofía Espinoza Morales,2010-04-21,F,San Pedro de la Paz,Natación
41,Emilia Muñoz González,2012-05-24,F,Talcahuano,Fútbol
217,Javiera González López,2009-02-27,F,Concepción,Fútbol
464,Amanda Contreras Pérez,2011-06-17,F,Chiguayante,Natación
334,Catalina Hernández Morales,2008-11-06,F,Hualpén,Natación
514,Florencia Pérez Hernández,2009-01-28,F,San Pedro de la Paz,Atletismo
551,Matías Contreras Silva,2009-07-05,M,San Pedro de la Paz,Natación
3,Josefa Espinoza Silva,2007-11-11,F,Penco,Atletismo
528,Matías Rojas Soto,2011-03-24,M,Concepción,Natación
555,Emilia Soto Rodríguez,2007-06-07,F,San Pedro de la Paz,Vóleibol
479,Lucas Soto Hernández,2010-10-11,M,Talcahuano,Natación
95,Florencia Fuentes Flores,2010-05-04,F,Concepción,Vóleibol
63,Amanda Sepúlveda Pérez,2011-05-21,F,Chiguayante,Natación
9,Matías Rojas Torres,2010-10-20,M,Chiguayante,Fútbol
102,Catalina Vega Rojas,2011-10-13,F,Hualpén,Atletismo
16,Josefa Torres Pérez,2012-09-10,F,Penco,Ajedrez
412,Benjamín Fuentes Silva,2011-10-12,M,Talcahuano,Fútbol
343,Javiera Hernández Espinoza,2011-07-05,F,Hualpén,Vóleibol
212,Martín Martínez Araya,2012-06-22,M,Talcahuano,Ajedrez
458,Agustín Pérez Flores,2007-02-22,M,Hualpén,Vóleibol
361,Sofía López González,2010-09-19,F,Concepción,Ajedrez
411,Gabriel Silva Flores,2007-05-17,M,Concepción,Natación
270,Amanda Silva Espinoza,2011-03-05,F,Talcahuano,Fútbol
480,Lucas Muñoz González,2007-12-22,M,Chiguayante,Atletismo
18,Javiera Vega Flores,2008-10-03,F,Talcahuano,Ajedrez
195,Florencia Rojas Martínez,2009-04-08,F,Chiguayante,Vóleibol
365,Sofía Silva Silva,2012-08-08,F,Talcahuano,Fútbol
385,Florencia Hernández López,2009-02-26,F,Coronel,Natación
40,Javiera Flores Torres,2010-10-28,F,Talcahuano,Natación
203,Javiera Torres Rodríguez,2009-08-22,F,Concepción,Atletismo
275,Amanda Hernández Fuentes,2010-06-13,F,Tomé,Fútbol
230,Antonia Rojas Soto,2011-08-27,F,Penco,Vóleibol
342,Martín Torres Muñoz,2011-08-06,M,Concepción,Atletismo
563,Catalina Rojas Soto,2011-12-22,F,Talcahuano,Atletismo
222,Sofía Soto Flores,2011-04-09,F,Talcahuano,Fútbol
331,Antonia Espinoza Hernández,2011-03-09,F,Tomé,Ajedrez
23,Lucas Rodríguez Flores,2008-10-04,M,San Pedro de la Paz,Atletismo
393,Sofía Rojas Torres,2009-02-08,F,Tomé,Vóleibol
327,Antonia Díaz Araya,2012-10-18,F,Hualpén,Natación
430,Antonia Martínez Martínez,2011-03-10,F,Chiguayante,Fútbol
506,Gabriel Vega Muñoz,2007-05-02,M,Hualpén,Vóleibol
382,Antonia Sepúlveda López,2008-09-16,F,Coronel,Ajedrez
119,Emilia Vega Espinoza,2007-12-24,F,Concepción,Atletismo
426,Tomás Rodríguez Soto,2008-09-28,M,Chiguayante,Vóleibol
530,Isidora Martínez Hernández,2012-03-20,F,Chiguayante,Natación
251,Agustín Díaz Morales,2007-08-12,M,Talcahuano,Ajedrez
356,Matías Espinoza Morales,2008-06-09,M,Hualpén,Atletismo
81,Javiera Morales Araya,2010-02-13,F,Chiguayante,Fútbol
79,Martín Martínez Rojas,2010-09-09,M,Hualpén,Ajedrez
69,Agustín Fuentes Vega,2008-06-15,M,Chiguayante,Vóleibol
134,Joaquín Soto González,2012-01-25,M,Penco,Vóleibol
236,Florencia Soto López,2012-08-27,F,Talcahuano,Vóleibol
143,Sofía López Martínez,2011-11-14,F,Chiguayante,Atletismo
233,Florencia Muñoz Hernández,2010-02-12,F,Concepción,Vóleibol
194,Gabriel López Pérez,2010-05-03,M,Coronel,Ajedrez
273,Diego Rodríguez Espinoza,2007-03-07,M,Tomé,Vóleibol
283,Vicente Flores Martínez,2010-01-16,M,Concepción,Ajedrez
167,Gabriel Araya Rodríguez,2009-04-18,M,Chiguayante,Atletismo
73,Florencia Díaz Hernández,2010-01-26,F,Hualpén,Vóleibol
180,Agustín Muñoz Morales,2007-03-11,M,San Pedro de la Paz,Atletismo
83,Matías Flores Flores,2007-02-11,M,Hualpén,Vóleibol
1,Josefa Araya Contreras,2010-07-07,F,Hualpén,Vóleibol
350,Benjamín Muñoz Hernández,2010-12-24,M,Concepción,Fútbol
401,Lucas Flores Rojas,2009-09-02,M,San Pedro de la Paz,Vóleibol
133,Martina Pérez Fuentes,2008-08-18,F,Talcahuano,Vóleibol
329,Catalina Vega Soto,2008-06-02,F,Talcahuano,Vóleibol
135,Diego Martínez Contreras,2009-04-24,M,Hualpén,Fútbol
515,Gabriel Silva Hernández,2009-06-12,M,Hualpén,Atletismo
109,Javiera Vega Silva,2012-05-04,F,Talcahuano,Ajedrez
103,Gabriel Morales Silva,2008-10-06,M,Tomé,Atletismo
437,Diego Soto Pérez,2009-05-14,M,Tomé,Fútbol
37,Benjamín Sepúlveda Espinoza,2007-02-12,M,Hualpén,Atletismo
483,Benjamín Flores Silva,2009-01-02,M,Talcahuano,Vóleibol
406,Lucas Contreras Hernández,2010-06-26,M,San Pedro de la Paz,Fútbol
302,Vicente Morales Fuentes,2011-03-10,M,Tomé,Vóleibol
78,Florencia Flores López,2009-11-17,F,Concepción,Atletismo
330,Antonia Rodríguez Muñoz,2011-01-26,F,San Pedro de la Paz,Vóleibol
189,Lucas Rodríguez Fuentes,2012-10-02,M,Penco,Atletismo
24,Benjamín Araya Morales,2011-06-14,M,Coronel,Fútbol
297,Isidora Flores González,2007-01-11,F,Penco,Natación
367,Martina Morales Díaz,2009-08-27,F,Chiguayante,Atletismo
179,Amanda Martínez Vega,2008-02-20,F,Talcahuano,Ajedrez
30,Antonia Vega Morales,2008-01-27,F,Talcahuano,Natación
494,Amanda Díaz Sepúlveda,2012-11-06,F,Tomé,Atletismo
414,Martina Sepúlveda Hernández,2010-11-02,F,Talcahuano,Vóleibol
447,Martín Sepúlveda Sepúlveda,2008-03-08,M,Talcahuano,Ajedrez
455,Antonia Sepúlveda López,2009-11-20,F,Penco,Atletismo
20,Joaquín Silva Martínez,2012-05-28,M,Coronel,Natación
130,Catalina Rodríguez Pérez,2007-06-08,F,Hualpén,Ajedrez
261,Josefa Sepúlveda Araya,2012-08-07,F,Talcahuano,Natación
122,Benjamín López Araya,2007-02-19,M,San Pedro de la Paz,Natación
131,Martina Soto Contreras,2010-08-27,F,Talcahuano,Fútbol
420,Joaquín Fuentes Espinoza,2007-10-22,M,Coronel,Fútbol
235,Agustín Soto Contreras,2012-11-25,M,Coronel,Vóleibol
541,Isidora Torres Contreras,2010-02-24,F,San Pedro de la Paz,Fútbol
471,Florencia Vega Torres,2009-12-17,F,Hualpén,Vóleibol
469,Catalina Pérez Araya,2009-04-01,F,Tomé,Ajedrez
231,Martín Torres Díaz,2007-11-28,M,Concepción,Atletismo
52,Lucas Espinoza Pérez,2007-04-19,M,Penco,Vóleibol
552,Florencia Contreras Espinoza,2012-07-25,F,Talcahuano,Vóleibol
560,Gabriel Morales Díaz,2011-03-06,M,Coronel,Fútbol
567,Agustín Martínez Contreras,2008-03-06,M,Tomé,Fútbol
169,Javiera López Espinoza,2008-02-21,F,San Pedro de la Paz,Vóleibol
21,Martina Rojas Soto,2010-10-14,F,San Pedro de la Paz,Ajedrez
246,Martina Silva Contreras,2011-03-19,F,Talcahuano,Ajedrez
58,Martín Morales Espinoza,2012-10-20,M,Concepción,Vóleibol
510,Josefa Vega Pérez,2007-10-14,F,Talcahuano,Ajedrez
71,Joaquín Sepúlveda Flores,2010-10-24,M,Talcahuano,Vóleibol
221,Agustín Muñoz Morales,2007-03-09,M,Hualpén,Natación
398,Antonia Araya Morales,2011-02-20,F,Chiguayante,Atletismo
141,Javiera Rodríguez Fuentes,2008-03-18,F,Hualpén,Fútbol
