id_matricula,rut_estudiante,nombre_estudiante,fecha_nacimiento,sexo,comuna,curso,promedio_notas,asistencia_pct,programa_apoyo,necesidad_educativa,nombre_apoderado,telefono_apoderado
M-7000,22290413-3,Agustín Flores López,2010-09-06,M,San Pedro de la Paz,2º B,7.0,76,Apoyo psicosocial,No,Matías López,992115724
M-7001,21162647-7,Benjamín Soto Muñoz,2012-04-27,M,Concepción,3º B,5.1,100,Ninguno,TDAH,Amanda Martínez,983858594
M-7002,20598130-4,Josefa Martínez Soto,2011-08-21,F,Talcahuano,2º A,4.5,98,Apoyo psicosocial,No,Catalina Rodríguez,911714850
M-7003,21323716-8,Josefa Hernández Araya,2008-01-14,F,Penco,3º B,5.1,86,Beca alimentación,No,Antonia Contreras,997050355
M-7004,22654559-6,Javiera Rodríguez Rojas,2009-12-22,F,Concepción,3º B,4.6,100,Beca alimentación,No,Matías Rodríguez,965141088
M-7005,20924719-2,Josefa Martínez Soto,2011-08-22,F,Talcahuano,1º B,5.3,71,Ninguno,No,Catalina Sepúlveda,979049902
M-7006,23313603-K,Javiera Fuentes Rodríguez,2009-10-08,F,Concepción,2º C,6.8,100,Programa de integración (PIE),No,Javiera González,980254627
M-7007,21927746-3,Javiera Vega Soto,2008-11-02,F,Chiguayante,4º B,4.8,95,Ninguno,No,Vicente Araya,915998957
M-7008,20385188-8,Lucas Araya Soto,2008-03-08,M,Hualpén,3º A,4.4,92,Programa de integración (PIE),No,Javiera Rojas,940361617
M-7009,22653836-0,Joaquín Silva Martínez,2012-05-28,M,Coronel,4º A,5.9,88,Ninguno,No,Matías González,946383422
M-7010,22363331-1,Emilia Hernández Martínez,2011-01-14,F,Hualpén,4º B,6.9,77,Ninguno,No,Isidora Torres,947381619
M-7011,22252360-1,Martina Flores Díaz,2009-02-28,F,Talcahuano,1º C,5.6,74,Beca alimentación,No,Matías Rojas,921392418
M-7012,21783263-K,Benjamín Soto Araya,2008-09-03,M,Concepción,3º A,5.3,74,Programa de integración (PIE),No,Diego Araya,938111714
M-7013,24478313-3,Josefa Flores Pérez,2010-11-10,F,Tomé,1º B,6.6,95,Ninguno,No,Agustín Fuentes,953127488
M-7014,23850827-K,Matías Vega Hernández,2011-09-09,M,Talcahuano,1º B,5.4,80,Programa de integración (PIE),No,Javiera Flores,922826060
M-7015,24444326-K,Amanda Pérez Martínez,2007-06-09,F,Concepción,1º B,5.0,83,Ninguno,No,Agustín González,920861420
M-7016,23203198-6,Martín Díaz Torres,2008-09-12,M,Talcahuano,1º C,5.0,77,Retención escolar,No,Diego Pérez,983872791
M-7017,23509588-8,Catalina Díaz Vega,2009-06-18,F,Concepción,2º C,4.7,100,Retención escolar,Discapacidad auditiva,Gabriel Morales,926966347
M-7018,21977128-K,Javiera Sepúlveda Díaz,2011-12-04,F,Concepción,2º A,5.9,73,Ninguno,No,Tomás Díaz,991016033
M-7019,21576217-0,Emilia Muñoz González,2012-05-24,F,Talcahuano,3º A,3.9,96,Beca alimentación,No,Gabriel Torres,980469825
M-7020,23514145-6,Martina Silva Soto,2008-08-09,F,Chiguayante,1º B,5.8,100,Ninguno,Discapacidad auditiva,Emilia Espinoza,998103347
